Provincia;Anio;Especie;Casos
Zona No delimitada;2024;B519;1
Zona No delimitada;2024;B500;0
Zona No delimitada;2024;B500-B509;0
Morona Santiago;2025;B519;214
Morona Santiago;2025;B500;0
Morona Santiago;2025;B500-B509;0
Orellana;2025;B519;173
Orellana;2025;B500;0
Orellana;2025;B500-B509;0
Cotopaxi;2025;B519;2
Cotopaxi;2025;B500;0
Cotopaxi;2025;B500-B509;0
Pastaza;2025;B519;154
Pastaza;2025;B500;64
Pastaza;2025;B500-B509;1
Esmeraldas;2025;B519;14
Esmeraldas;2025;B500;12
Esmeraldas;2025;B500-B509;0
Sucumbios;2025;B519;4
Sucumbios;2025;B500;0
Sucumbios;2025;B500-B509;0
El Oro;2025;B519;3
El Oro;2025;B500;0
El Oro;2025;B500-B509;0
Santa Elena;2025;B519;0
Santa Elena;2025;B500;0
Santa Elena;2025;B500-B509;0
Manabí;2025;B519;1
Manabí;2025;B500;0
Manabí;2025;B500-B509;0
Guayas;2025;B519;0
Guayas;2025;B500;1
Guayas;2025;B500-B509;1
Los Rios;2025;B519;0
Los Rios;2025;B500;1
Los Rios;2025;B500-B509;0
Napo;2025;B519;0
Napo;2025;B500;0
Napo;2025;B500-B509;0
Santo Domingo de los Tsachilas;2025;B519;0
Santo Domingo de los Tsachilas;2025;B500;1
Santo Domingo de los Tsachilas;2025;B500-B509;0
Bolívar;2025;B519;0
Bolívar;2025;B500;0
Bolívar;2025;B500-B509;0
Carchi;2025;B519;0
Carchi;2025;B500;0
Carchi;2025;B500-B509;0
Imbabura;2025;B519;0
Imbabura;2025;B500;0
Imbabura;2025;B500-B509;0
Pichincha;2025;B519;1
Pichincha;2025;B500;0
Pichincha;2025;B500-B509;0
Azuay;2025;B519;2
Azuay;2025;B500;0
Azuay;2025;B500-B509;0
Tungurahua;2025;B519;0
Tungurahua;2025;B500;0
Tungurahua;2025;B500-B509;0
Galapagos;2025;B519;0
Galapagos;2025;B500;0
Galapagos;2025;B500-B509;0
Chimborazo;2025;B519;1
Chimborazo;2025;B500;0
Chimborazo;2025;B500-B509;0
Zamora Chinchipe;2025;B519;1
Zamora Chinchipe;2025;B500;0
Zamora Chinchipe;2025;B500-B509;0
Loja;2025;B519;0
Loja;2025;B500;0
Loja;2025;B500-B509;0
Cañar;2025;B519;0
Cañar;2025;B500;0
Cañar;2025;B500-B509;0
Zona No delimitada;2025;B519;1
Zona No delimitada;2025;B500;0
Zona No delimitada;2025;B500-B509;0
